,Child Commit Recent Date,Parent,Total Deleted Testfile,Deleted Testfile,Total Deleted Tests,Deleted Tests
45,2019-01-05 15:57:58,"=HYPERLINK(""https://github.com/pmd/pmd/commit/45c8f50930abd69ca6b11c229c7571d341aedbef"", ""45c8f50930abd69ca6b11c229c7571d341aedbef"")",1,['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTMethodDeclarationTest.java'],1,['testGetVariableName']
67,2019-01-23 11:35:11,"=HYPERLINK(""https://github.com/pmd/pmd/commit/ba8f318ef9405a2e90cef78cd6e349da68f06f55"", ""ba8f318ef9405a2e90cef78cd6e349da68f06f55"")",1,['pmd-apex/src/test/java/net/sourceforge/pmd/lang/apex/rule/ApexXpathRuleTest.java'],1,['testXPathAttributesOfUnderlyingNode']
29,2019-05-20 13:27:07,"=HYPERLINK(""https://github.com/pmd/pmd/commit/920b061083f489f287a2302ec12d05479a479779"", ""920b061083f489f287a2302ec12d05479a479779"")",1,['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTAssignmentOperatorTest.java'],3,"['testSimpleAssignmentRecognized', 'testCompoundAssignmentPlusRecognized', 'testCompoundAssignmentMultRecognized']"
53,2019-05-20 13:27:07,"=HYPERLINK(""https://github.com/pmd/pmd/commit/ef7605ad6b8deb432c88d79abc14c65d2fbf7500"", ""ef7605ad6b8deb432c88d79abc14c65d2fbf7500"")",1,['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTPrimarySuffixTest.java'],2,"['testArrayDereference', 'testArguments']"
71,2019-06-01 17:05:48,"=HYPERLINK(""https://github.com/pmd/pmd/commit/90d1467735393c8d9b9f79da1191fdfb5a3130e2"", ""90d1467735393c8d9b9f79da1191fdfb5a3130e2"")",1,['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTBlockStatementTest.java'],2,"['testIsAllocation', 'testIsAllocation2']"
13,2019-09-12 20:23:18,"=HYPERLINK(""https://github.com/pmd/pmd/commit/d3c98dd14876b161c29904df8c2d9044c929c67f"", ""d3c98dd14876b161c29904df8c2d9044c929c67f"")",1,['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/rule/design/StdCyclomaticComplexityTest.java'],1,['entryStackMustBeEmpty']
22,2019-09-17 12:30:31,"=HYPERLINK(""https://github.com/pmd/pmd/commit/e09ea8ce1a21f8c1ae0b4f265cc0b6aba1ad0ec3"", ""e09ea8ce1a21f8c1ae0b4f265cc0b6aba1ad0ec3"")",1,['pmd-scala/src/test/java/net/sourceforge/pmd/lang/scala/ast/ScalaParserTest.java'],1,['testCountNodes']
20,2019-11-22 10:59:38,"=HYPERLINK(""https://github.com/pmd/pmd/commit/8c5fd6956dc406abaf57260275d5c5762bf4ed0b"", ""8c5fd6956dc406abaf57260275d5c5762bf4ed0b"")",1,['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTAnnotationTest.java'],3,"['testAnnotationSucceedsWithDefaultMode', 'testAnnotationFailsWithJDK14', 'testAnnotationSucceedsWithJDK15']"
10,2020-01-02 19:09:16,"=HYPERLINK(""https://github.com/pmd/pmd/commit/86086bc04acf705e284735cf526a5898cfea826a"", ""86086bc04acf705e284735cf526a5898cfea826a"")",1,['pmd-core/src/test/java/net/sourceforge/pmd/util/filter/RegexStringFilterTest.java'],5,"['testFilterAbsoluteWithExtension', 'testFilterAbsoluteWithoutExtension', 'testFilterRelativeWithExtension', 'testFilterRelativeWithoutExtension', 'testEndsWith']"
32,2020-01-10 14:15:15,"=HYPERLINK(""https://github.com/pmd/pmd/commit/d6296bd85fb3981124ebd0bbe855c7f9f2a1ec7f"", ""d6296bd85fb3981124ebd0bbe855c7f9f2a1ec7f"")",1,['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/ASTLiteralTest.java'],15,"['testIsStringLiteral', 'testIsNotStringLiteral', 'testIsIntIntLiteral', 'testIsIntLongLiteral', 'testIsFloatFloatLiteral', 'testIsFloatDoubleLiteral', 'testIsCharLiteral', 'testIntValueParsing', 'testIntValueParsingBinary', 'testIntValueParsingNegativeHexa', 'testFloatValueParsingNegative', 'testStringUnicodeEscapesNotEscaped', 'testStringUnicodeEscapesInvalid', 'testStringUnicodeEscapesValid', 'testCharacterUnicodeEscapesValid']"
6,2020-01-19 01:36:35,"=HYPERLINK(""https://github.com/pmd/pmd/commit/aa9a9c2bed2084897e4f311c8783b8a89858a876"", ""aa9a9c2bed2084897e4f311c8783b8a89858a876"")",2,"['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/rule/design/StdCyclomaticComplexityTest.java', 'pmd-apex/src/test/java/net/sourceforge/pmd/lang/apex/rule/design/StdCyclomaticComplexityTest.java']",2,"['entryStackMustBeEmpty', 'entryStackMustBeEmpty']"
52,2020-02-28 12:37:13,"=HYPERLINK(""https://github.com/pmd/pmd/commit/eae6e96db0b469e72e61e6e0cd1ee23465c7f30d"", ""eae6e96db0b469e72e61e6e0cd1ee23465c7f30d"")",1,['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/Java12Test.java'],4,"['testMultipleCaseLabelsJava11', 'testSwitchRulesJava11', 'testSwitchExpressionsJava11', 'testSwitchExpressionsBreak']"
56,2020-05-18 07:57:54,"=HYPERLINK(""https://github.com/pmd/pmd/commit/cc23b61b0308167ed0ea16cbc3bc30d11659b298"", ""cc23b61b0308167ed0ea16cbc3bc30d11659b298"")",1,['pmd-core/src/test/java/net/sourceforge/pmd/lang/rule/internal/ComparatorTest.java'],3,"['transitivityTest', 'assymetryTest', 'substitutabilityTest']"
68,2020-06-13 13:14:08,"=HYPERLINK(""https://github.com/pmd/pmd/commit/0a1e82efad8a838da894ba8cbdbfa8d60a5fe005"", ""0a1e82efad8a838da894ba8cbdbfa8d60a5fe005"")",1,['pmd-cpp/src/test/java/net/sourceforge/pmd/cpd/CPPTokenizerContinuationTest.java'],4,"['parseWithContinuation', 'parseWithContinuationCppTokenManager', 'testContinuationIntraToken', 'testContinuationInterToken']"
