Child Commit Recent Date,Parent,Total Deleted Testfile,Deleted Testfile,Total Deleted Tests,Deleted Tests
2004-09-02 13:34:01,"=HYPERLINK(""https://github.com/pmd/pmd/commit/f2f621342004ab009c3e3d819a61a251775b4cae"", ""f2f621342004ab009c3e3d819a61a251775b4cae"")",1,['pmd/regress/test/net/sourceforge/pmd/ast/ASTTypeTest.java'],1,['testOneDimensionArray']
2004-09-16 14:32:14,"=HYPERLINK(""https://github.com/pmd/pmd/commit/008a79cb2db05f6dd22b0ad8eaa43957fe515f1d"", ""008a79cb2db05f6dd22b0ad8eaa43957fe515f1d"")",1,['pmd/src/net/sourceforge/pmd/dfa/test/TestClass.java'],26,"['test_1', 'test_2', 'test_3', 'test_4', 'test_6', 'test_7', 'test_8', 'test_9', 'test_10', 'test_11', 'test_12', 'test_13', 'test_14', 'test_15', 'test_16', 'test_17', 'test_18', 'test_19', 'test_20', 'test_21', 'test_22', 'test_23', 'test_24', 'test_25', 'test_26', 'test_27']"
2004-09-30 13:21:00,"=HYPERLINK(""https://github.com/pmd/pmd/commit/f1ff22c310c95084c4e550bd9ead2a1205ad7060"", ""f1ff22c310c95084c4e550bd9ead2a1205ad7060"")",1,['pmd/regress/test/net/sourceforge/pmd/dfa/LinkerTest.java'],1,['testComputePaths']
2005-01-10 14:33:13,"=HYPERLINK(""https://github.com/pmd/pmd/commit/43e3a396d5243a36b5a053763bc9e91e65b3b0e3"", ""43e3a396d5243a36b5a053763bc9e91e65b3b0e3"")",1,['pmd/regress/test/net/sourceforge/pmd/symboltable/BasicScopeFactoryTest.java'],4,"['testGlobalScope', 'testClassScope', 'testMethodScope', 'testLocalScope']"
2005-03-23 11:16:46,"=HYPERLINK(""https://github.com/pmd/pmd/commit/fde55e40835e80de47cefec339ce565acc4332bc"", ""fde55e40835e80de47cefec339ce565acc4332bc"")",1,['pmd/regress/test/net/sourceforge/pmd/rules/AbstractClassDoesNotContainAbstractMethodTest.java'],1,['testAll']
2005-06-27 13:26:12,"=HYPERLINK(""https://github.com/pmd/pmd/commit/81d9fbb928ebe4c1bc0d1ba4603f4f935bf884e9"", ""81d9fbb928ebe4c1bc0d1ba4603f4f935bf884e9"")",1,['pmd/regress/test/net/sourceforge/pmd/rules/finalize/ExplicitCallToFinalizeRuleTest.java'],1,['testAll']
2005-08-03 09:14:56,"=HYPERLINK(""https://github.com/pmd/pmd/commit/ce6d4a58594e8ae864d88ab35e9c07b8b59a265e"", ""ce6d4a58594e8ae864d88ab35e9c07b8b59a265e"")",1,['pmd/regress/test/net/sourceforge/pmd/symboltable/DeclarationFinderTest.java'],2,"['testDeclarationsAreFound', 'test1']"
2005-08-07 21:15:08,"=HYPERLINK(""https://github.com/pmd/pmd/commit/98d349504b82369cd9887ffe48eef5605ecb8463"", ""98d349504b82369cd9887ffe48eef5605ecb8463"")",1,['pmd/regress/test/net/sourceforge/pmd/rules/strictexception/ExceptionTypeCheckingRuleTest.java'],1,['testAll']
2006-05-15 13:58:48,"=HYPERLINK(""https://github.com/pmd/pmd/commit/cad7d128a07ce3b82a7a0dae81e2caad52915d89"", ""cad7d128a07ce3b82a7a0dae81e2caad52915d89"")",1,['pmd/regress/test/net/sourceforge/pmd/ast/DiscardableNodeCleanerTest.java'],1,['testFoo']
2006-06-18 17:30:33,"=HYPERLINK(""https://github.com/pmd/pmd/commit/cc57b9d4c0735e48f48b05557c88d1a38215408b"", ""cc57b9d4c0735e48f48b05557c88d1a38215408b"")",1,['pmd-eclipse-test/test/test/net/sourceforge/pmd/eclipse/dao/PreferencesDAOTest.java'],2,"['testReadPreferences', 'testWritePreferences']"
